title,project_name,city,locality,bhk,price_formatted,possession_status,amenities,cta_url,area_sqft,bathrooms,furnishing,address,images_url,summary,price
2BHK Apartment in Pristine02,Pristine02,Pune,Shivajinagar,2BHK,₹12.00 Cr,READY_TO_MOVE,No amenities listed,/project/pristine02-modelcolony-shivajinagar-pune-428955,972.0,2.0,UNFURNISHED,"sr no 13 beside godrej, opposite to mca stadium, sai nagar, mamurdi, pune ","[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757011238541-c8a6e3aced460e18.jpg""]",,120000000
2BHK Apartment in Pristine02,Pristine02,Pune,Shivajinagar,2BHK,₹21.00 Cr,READY_TO_MOVE,No amenities listed,/project/pristine02-modelcolony-shivajinagar-pune-428955,188.73,3.0,UNFURNISHED,"sr no 13 beside godrej, opposite to mca stadium, sai nagar, mamurdi, pune ","[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757011238542-bd3d1a40c2d7fadb.jpg""]",,210000000
1BHK Apartment in Gurukripa,Gurukripa,Mumbai,Chembur,1BHK,₹1.30 Cr,UNDER_CONSTRUCTION,No amenities listed,/project/gurukripa-ashoknagar-chembur-mumbai-086047,426.57,1.0,UNFURNISHED,"sindhi society, near swami vivekanand jr college, chembur, mumbai harbour, mumbai","[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391106-7c383f81d9c66290.jpg""]",,13000000
1BHK Apartment in Gurukripa,Gurukripa,Mumbai,Chembur,1BHK,₹1.50 Cr,UNDER_CONSTRUCTION,No amenities listed,/project/gurukripa-ashoknagar-chembur-mumbai-086047,460.8,1.0,UNFURNISHED,"sindhi society, near swami vivekanand jr college, chembur, mumbai harbour, mumbai","[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391150-9b806803ceb0c8b6.jpg""]",,15000000
3BHK Apartment in Gurukripa,Gurukripa,Mumbai,Chembur,3BHK,₹2.90 Cr,UNDER_CONSTRUCTION,No amenities listed,/project/gurukripa-ashoknagar-chembur-mumbai-086047,893.08,3.0,UNFURNISHED,"sindhi society, near swami vivekanand jr college, chembur, mumbai harbour, mumbai","[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391167-19d3844213de86cb.jpg""]",,29000000
3BHK Apartment in Gurukripa,Gurukripa,Mumbai,Chembur,3BHK,₹2.90 Cr,UNDER_CONSTRUCTION,No amenities listed,/project/gurukripa-ashoknagar-chembur-mumbai-086047,918.27,3.0,UNFURNISHED,"sindhi society, near swami vivekanand jr college, chembur, mumbai harbour, mumbai","[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391188-7b25319224e8a812.jpg""]",,29000000
2BHK Apartment in Gurukripa,Gurukripa,Mumbai,Chembur,2BHK,₹2.60 Cr,UNDER_CONSTRUCTION,No amenities listed,/project/gurukripa-ashoknagar-chembur-mumbai-086047,804.6,2.0,UNFURNISHED,"sindhi society, near swami vivekanand jr college, chembur, mumbai harbour, mumbai","[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391202-e4d28b891dcb832f.jpg""]",,26000000
2BHK Apartment in Gurukripa,Gurukripa,Mumbai,Chembur,2BHK,₹3.30 Cr,UNDER_CONSTRUCTION,No amenities listed,/project/gurukripa-ashoknagar-chembur-mumbai-086047,1036.67,2.0,UNFURNISHED,"sindhi society, near swami vivekanand jr college, chembur, mumbai harbour, mumbai","[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391218-4ca8b878a42de5ae.jpg""]",,33000000
1BHK Apartment in Hari om,Hari om,Mumbai,Chembur,1BHK,₹1.30 Cr,UNDER_CONSTRUCTION,No amenities listed,/project/hari-om-ashoknagar-chembur-mumbai-650559,443.37,1.0,UNFURNISHED,"cts 300, plot no 37, opposite midtown 71, sindhi society, chembur, mumbai, maharashtra 400071","[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757324645448-dbde48f7805f3bd0.jpg""]",,13000000
2BHK Apartment in Hari om,Hari om,Mumbai,Chembur,2BHK,₹1.90 Cr,UNDER_CONSTRUCTION,No amenities listed,/project/hari-om-ashoknagar-chembur-mumbai-650559,644.11,2.0,UNFURNISHED,"cts 300, plot no 37, opposite midtown 71, sindhi society, chembur, mumbai, maharashtra 400071","[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757324645449-b2f826d061804b98.jpg""]",,19000000
3BHK Apartment in Hari om,Hari om,Mumbai,Chembur,3BHK,₹2.30 Cr,UNDER_CONSTRUCTION,No amenities listed,/project/hari-om-ashoknagar-chembur-mumbai-650559,798.57,3.0,UNFURNISHED,"cts 300, plot no 37, opposite midtown 71, sindhi society, chembur, mumbai, maharashtra 400071","[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757324645451-d9b3e0a968cfc871.jpg""]",,23000000
1BHK Apartment in Om makarand heights,Om makarand heights,Mumbai,Chembur,1BHK,₹8.50 L,UNDER_CONSTRUCTION,No amenities listed,/project/om-makarand-heights-ashoknagar-chembur-mumbai-716337,379.0,1.0,UNFURNISHED,"104, yashvant seth jadhav marg, gauri shankar wadi no. 2, savitribai phule nagar, pant nagar, ghatkopar east, mumbai, maharashtra 400075","[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757325712591-aa79bad30786e10c.jpg""]",,850000
